id	tweet	date	sentiment	about_covid	covid_word	about_china	china_word	link
1223630132834795522	Pakistani student in Wuhan says ShameonImranKhan.  Shows how Indian students are being evacuated by their govt. While…	2020-02-01	0.0	0	NA	1	wuhan	
1223628218923511808	Somewhere in Wuhan, three unknown people are wearing protective clothing but holding guns  China_is_terrorist…	2020-02-01	0.0	0	NA	1	wuhan	
1223629801212149761	Solskjær has a plan...  1⃣ Sign Ighalo from China 2⃣ Sparks an outbreak of the coronavirus 3⃣ Football is suspended in the UK…	2020-02-01	-0.4767	1	coronavirus	1	china	
1223630625250263040	PEOPLE WHO KEEP DEFENDING THE DECISION OF THIS GOVERNMENT REEK OF PRIVILEGE and I hope this reaches you.   FACT: the NCoV…	2020-02-01	0.3071	1	ncov	0	NA	
1223629161446535168	If you study international relations and international politics, you will understand why all this happened	2020-02-01	0.0	0	NA	0	NA	
1223628867082117120	👍 but maybe on a different topic of broader direct interest than the Biden’s; like quid pro quo’s with Turkey, Saudies, and China.  And oh, and how about those security cleared nepotists, Jarvankers, extracting million$ around the globe ?	2020-02-01	0.899	0	NA	1	china	
1223629656189853696	India has evacuated and Pakistan abandoned its students in Coronavirus hit Wuhan. Still likes of  call Mo…	2020-02-01	-0.0516	1	coronavirus	1	wuhan	
1223627929055305729	Nigerians in Chinese city affected by coronavirus unwilling to return home – Lai Mohammed	2020-02-01	-0.1531	1	coronavirus	1	chinese	
1223630454827384832	Coronavirus;FG won't stop Nigerians from traveling to China- minster of Information and culture, Lai Mohammed	2020-02-01	0.2235	1	coronavirus	1	china	
1223628778766852099	Apple shuts down all stores and corporate offices in China amid the continued Wuhan coronavirus outbreak	2020-02-01	0.0	1	coronavirus	1	wuhan	
1223628676308205570	these bitches eats everything 🤢🤢	2020-02-01	-0.5994	0	NA	0	NA	
1223629809843982336	I think we all agree cancelling their second protest is a joke, we all know it's unrelated to the corona virus but more bc there's no one coming lol	2020-02-01	0.2393	1	coronavirus	0	NA	
1223630522347245569	Govt of Botswana say there are 5 suspected cases of Coronavirus - all are now in isolation. (My piece for Al Jazeera on…	2020-02-01	-0.5574	1	coronavirus	0	NA	
1223630675837886464	Two pictures. One is the cover of the German magazine , the other from the web portal of the city of Wuhan.…	2020-02-01	0.0	0	NA	1	wuhan	
1223629664427470848	Coronavirus Contains 'HIV Insertions', Stoking Fears Over Artificially Created Bioweapon | Zero Hedge	2020-02-01	-0.2023	1	coronavirus	0	NA	
1223637019626049536	January, 2020:  - Coronavirus  - Qassem Soleimani killed  - Brexit  - Iran shoots down Ukrainian plane  - Kobe Bryant d…	2020-02-01	-0.6705	1	coronavirus	0	NA	
1223627497914261504	Your racist jokes about dying of coronavirus are all so tired. The flu killed 80,000 ppl in the US in 2018 alone, but I…	2020-02-01	-0.8202	1	coronavirus	0	NA	
1223636961358962688	GSK was the leader of HIV meds for years before Gilead recently moved into first place in this $2…	2020-02-01	0.0	0	NA	0	NA	
1223637047493169153	I'm In China. Here's What's Really Happening As The Country Faces The Coronavirus. | HuffPost. very interesting article. cor…	2020-02-01	0.4576	1	coronavirus	1	china	
1223630016531042304	LetsBeatCoronaTogether  Keep in mind, the 15% fatality rate is the percentage of hospitalized patients suffering with…	2020-02-01	-0.8225	1	corona	0	NA	
1223637107983507456	Today is the first day of BHM2020 and I’m leading a walk &amp; shop for my Chinese neighbours in response to coronavirus rela…	2020-02-01	0.0	1	coronavirus	1	chinese	
1223630238950649856	Coronavirus: Pakistan govt leaves over 150 of its citizens stranded in China even as India readies second aircraft for eva…	2020-02-01	0.0	1	coronavirus	1	china	
